caregiver_id,caregiver_age,caregiver_gender,training_course,experience_years,skill_feeding,skill_bathing,skill_dressing,skill_toileting,skill_transfer,skill_wheelchair,skill_wound_care,skill_tube_feeding,skill_medication,skill_dementia_care,skill_communication,patience_level,stress_management,Caregiver_care_time,location,caregiver_lat,caregiver_long,wage
CG001,32,หญิง,70ชม,1,1,1,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,บางรัก,13.7263,100.5279,18000
CG002,45,หญิง,420ชม,6,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,บางพลัด,13.7939,100.505,22000
CG003,29,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,บางบอน,13.6549,100.3891,17000
CG004,38,ชาย,70ชม,3,1,1,1,1,1,0,0,0,1,0,1,4,1,ไปกลับ,ท่าพระจันทร์,13.7566,100.4889,20000
CG005,50,หญิง,420ชม,10,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,จตุจักร,13.8286,100.5597,24000
CG006,27,หญิง,70ชม,1,1,0,1,0,0,0,0,0,1,0,1,2,0,ไปกลับ,บางเขน,13.8739,100.5964,15000
CG007,41,ชาย,420ชม,8,1,1,1,1,1,1,1,0,1,1,1,4,1,ไปกลับ,บางรัก,13.7263,100.5279,24000
CG008,36,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,จอมทอง,13.6766,100.4691,20000
CG009,30,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,ภาษีเจริญ,13.716,100.45,17000
CG010,55,หญิง,420ชม,12,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,จตุจักร,13.8286,100.5597,24000
CG011,34,หญิง,70ชม,2,1,1,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,จตุจักร,13.8286,100.5597,20000
CG012,48,ชาย,420ชม,9,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,พระนคร,13.76498,100.49873,24000
CG013,26,หญิง,70ชม,1,1,0,1,0,0,0,0,0,1,0,1,2,0,อยู่ประจำ,บางพลัด,13.7939,100.505,15000
CG014,37,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,พระนคร,13.76498,100.49873,20000
CG015,53,หญิง,420ชม,11,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,24000
